GVID-100344,oracle-mysql-cve-2013-1552
GVID-100345,oracle-mysql-cve-2013-1555
GVID-100346,oracle-mysql-cve-2013-1566
GVID-100347,oracle-mysql-cve-2013-1567
GVID-100348,oracle-mysql-cve-2013-1570
GVID-100349,oracle-mysql-cve-2013-2375
GVID-100350,oracle-mysql-cve-2013-2376
GVID-100351,oracle-mysql-cve-2013-2378
GVID-100352,oracle-mysql-cve-2013-2381
GVID-100353,oracle-mysql-cve-2013-2389
GVID-100354,oracle-mysql-cve-2013-2391
GVID-100355,oracle-mysql-cve-2013-2392
GVID-100356,oracle-mysql-cve-2013-2395
GVID-100357,oracle-mysql-cve-2013-3783
GVID-100358,oracle-mysql-cve-2013-3793
GVID-100359,oracle-mysql-cve-2013-3794
GVID-100360,oracle-mysql-cve-2013-3795
GVID-100361,oracle-mysql-cve-2013-3796
GVID-100362,oracle-mysql-cve-2013-3798
GVID-100363,oracle-mysql-cve-2013-3801
GVID-100364,oracle-mysql-cve-2013-3802
GVID-100365,oracle-mysql-cve-2013-3804
GVID-100366,oracle-mysql-cve-2013-3805
GVID-100367,oracle-mysql-cve-2013-3806
GVID-100368,oracle-mysql-cve-2013-3807
GVID-100369,oracle-mysql-cve-2013-3808
GVID-100370,oracle-mysql-cve-2013-3809
GVID-100371,oracle-mysql-cve-2013-3810
GVID-100372,oracle-mysql-cve-2013-3811
GVID-100373,oracle-mysql-cve-2013-3812
GVID-100374,oracle-mysql-cve-2013-3839
GVID-100375,oracle-mysql-cve-2013-5767
GVID-100376,oracle-mysql-cve-2013-5770
GVID-100377,oracle-mysql-cve-2013-5786
GVID-100378,oracle-mysql-cve-2013-5793
GVID-100379,oracle-mysql-cve-2013-5807
GVID-100380,oracle-mysql-cve-2013-5860
GVID-100381,oracle-mysql-cve-2013-5881
GVID-100382,oracle-mysql-cve-2013-5882
GVID-100383,oracle-mysql-cve-2013-5891
GVID-100384,oracle-mysql-cve-2013-5894
GVID-100385,oracle-mysql-cve-2013-5908
GVID-100386,oracle-mysql-cve-2014-0001
GVID-100387,oracle-mysql-cve-2014-0384
GVID-100388,oracle-mysql-cve-2014-0386
GVID-100389,oracle-mysql-cve-2014-0393
GVID-100390,oracle-mysql-cve-2014-0401
GVID-100391,oracle-mysql-cve-2014-0402
GVID-100392,oracle-mysql-cve-2014-0412
GVID-100393,oracle-mysql-cve-2014-0420
GVID-100394,oracle-mysql-cve-2014-0427
GVID-100395,oracle-mysql-cve-2014-0430
GVID-100396,oracle-mysql-cve-2014-0431
GVID-100397,oracle-mysql-cve-2014-0433
GVID-100398,oracle-mysql-cve-2014-0437
GVID-100399,oracle-mysql-cve-2014-2419
GVID-100400,oracle-mysql-cve-2014-2430
GVID-100401,oracle-mysql-cve-2014-2431
GVID-100402,oracle-mysql-cve-2014-2432
GVID-100403,oracle-mysql-cve-2014-2434
GVID-100404,oracle-mysql-cve-2014-2435
GVID-100405,oracle-mysql-cve-2014-2436
GVID-100406,oracle-mysql-cve-2014-2438
GVID-100407,oracle-mysql-cve-2014-2440
GVID-100408,oracle-mysql-cve-2014-2442
GVID-100409,oracle-mysql-cve-2014-2444
GVID-100410,oracle-mysql-cve-2014-2450
GVID-100411,oracle-mysql-cve-2014-2451
GVID-100412,oracle-mysql-cve-2014-2484
GVID-100413,oracle-mysql-cve-2014-2494
GVID-100414,oracle-mysql-cve-2014-4207
GVID-100415,oracle-mysql-cve-2014-4214
GVID-100416,oracle-mysql-cve-2014-4233
GVID-100417,oracle-mysql-cve-2014-4238
GVID-100418,oracle-mysql-cve-2014-4240
GVID-100419,oracle-mysql-cve-2014-4243
GVID-100420,oracle-mysql-cve-2014-4258
GVID-100421,oracle-mysql-cve-2014-4260
GVID-100422,oracle-mysql-cve-2014-4274
GVID-100423,oracle-mysql-cve-2014-4287
GVID-100424,oracle-mysql-cve-2014-6463
GVID-100425,oracle-mysql-cve-2014-6464
GVID-100426,oracle-mysql-cve-2014-6469
GVID-100427,oracle-mysql-cve-2014-6474
GVID-100428,oracle-mysql-cve-2014-6478
GVID-100429,oracle-mysql-cve-2014-6484
GVID-100430,oracle-mysql-cve-2014-6489
